symbol,Date,Open,High,Low,Close,Adj Close,Volume
META,19/11/18,137.610001,137.75,131.210007,131.550003,131.550003,44362700
META,20/11/18,127.029999,134.160004,126.849998,132.429993,132.429993,41939500
META,21/11/18,134.399994,137.190002,134.130005,134.820007,134.820007,25469700
META,23/11/18,133.649994,134.5,131.259995,131.729996,131.729996,11886100
META,26/11/18,133,137,132.779999,136.380005,136.380005,24263600
META,27/11/18,135.75,136.610001,133.710007,135,135,20750300
META,28/11/18,136.279999,136.789993,131.850006,136.759995,136.759995,29847500
META,29/11/18,135.919998,139.990005,135.660004,138.679993,138.679993,24238700
META,30/11/18,138.259995,140.970001,137.360001,140.610001,140.610001,25732600
META,3/12/18,143,143.679993,140.759995,141.089996,141.089996,24819200
META,4/12/18,140.729996,143.389999,137.160004,137.929993,137.929993,30307400
META,6/12/18,133.820007,139.699997,133.669998,139.630005,139.630005,28218100
META,7/12/18,139.25,140.869995,136.660004,137.419998,137.419998,21195500
META,10/12/18,139.600006,143.050003,139.009995,141.850006,141.850006,26422200
META,11/12/18,143.880005,143.880005,141.100006,142.080002,142.080002,20300300
META,12/12/18,143.080002,147.190002,142.509995,144.5,144.5,23696900
META,13/12/18,145.570007,145.850006,143.190002,145.009995,145.009995,18148600
META,14/12/18,143.339996,146.009995,142.509995,144.059998,144.059998,21785800
META,17/12/18,143.080002,144.919998,138.419998,140.190002,140.190002,24334000
META,18/12/18,141.080002,145.929993,139.830002,143.660004,143.660004,24709100
META,19/12/18,141.210007,144.910004,132.5,133.240005,133.240005,57404900
META,20/12/18,130.699997,135.570007,130,133.399994,133.399994,40297900
META,21/12/18,133.389999,134.899994,123.419998,124.949997,124.949997,56901500
META,24/12/18,123.099998,129.740005,123.019997,124.059998,124.059998,22066000
META,26/12/18,126,134.240005,125.889999,134.179993,134.179993,39723400
META,27/12/18,132.440002,134.990005,129.669998,134.520004,134.520004,31202500
META,28/12/18,135.339996,135.919998,132.199997,133.199997,133.199997,22627600
META,31/12/18,134.449997,134.639999,129.949997,131.089996,131.089996,24625300
META,2/1/19,128.990005,137.509995,128.559998,135.679993,135.679993,28146200
META,3/1/19,134.690002,137.169998,131.119995,131.740005,131.740005,22717900
META,4/1/19,134.009995,138,133.75,137.949997,137.949997,29002100
META,7/1/19,137.559998,138.869995,135.910004,138.050003,138.050003,20089300
META,8/1/19,139.889999,143.139999,139.539993,142.529999,142.529999,26263800
META,9/1/19,142.949997,144.699997,141.270004,144.229996,144.229996,22205900
META,10/1/19,143.080002,144.559998,140.839996,144.199997,144.199997,16125000
META,11/1/19,143.149994,145.360001,142.570007,143.800003,143.800003,12908000
META,14/1/19,142,146.570007,141.270004,145.389999,145.389999,20520300
META,15/1/19,146.009995,150.679993,145.990005,148.949997,148.949997,24069000
META,16/1/19,149,149.649994,147,147.539993,147.539993,18025700
META,17/1/19,146.949997,149,146.5,148.300003,148.300003,15787900
META,18/1/19,149.75,152.429993,148.550003,150.039993,150.039993,31029600
META,22/1/19,149.199997,151.529999,146.369995,147.570007,147.570007,22378700
META,23/1/19,148.279999,148.800003,143.059998,144.300003,144.300003,20098400
META,24/1/19,144.639999,146.440002,142.520004,145.830002,145.830002,20955500
META,25/1/19,147.479996,149.830002,146.539993,149.009995,149.009995,22237200
META,28/1/19,148.050003,148.960007,146.210007,147.470001,147.470001,15508500
META,29/1/19,148.089996,148.100006,143.429993,144.190002,144.190002,17632100
META,30/1/19,146.220001,150.949997,145.699997,150.419998,150.419998,44613200
META,31/1/19,165.600006,171.679993,165,166.690002,166.690002,77233600
META,1/2/19,165.839996,169.100006,165.660004,165.710007,165.710007,30806500
META,4/2/19,165.699997,169.300003,163.619995,169.25,169.25,20036000
META,5/2/19,169.149994,171.979996,168.690002,171.160004,171.160004,22557000
META,6/2/19,171.199997,172.470001,169.270004,170.490005,170.490005,13281200
META,7/2/19,168.199997,169.240005,165.25,166.380005,166.380005,17517600
META,8/2/19,164.470001,167.369995,164.210007,167.330002,167.330002,12561400
META,11/2/19,167.899994,168.300003,165.080002,165.789993,165.789993,12811200
META,12/2/19,166.860001,168.339996,164.5,165.039993,165.039993,16292300
META,13/2/19,165.380005,166.220001,163.729996,164.070007,164.070007,14205100
META,14/2/19,163.190002,164.869995,162.25,163.949997,163.949997,12755200
META,15/2/19,164.509995,164.699997,160.860001,162.5,162.5,15504400
META,19/2/19,160.5,164.149994,160.330002,162.289993,162.289993,14345400
META,20/2/19,162.25,163.720001,161.25,162.559998,162.559998,11770700
META,21/2/19,161.929993,162.240005,159.589996,160.039993,160.039993,15607800
META,22/2/19,160.580002,162.410004,160.309998,161.889999,161.889999,15858500
META,25/2/19,163.070007,166.070007,162.899994,164.619995,164.619995,18737100
META,26/2/19,164.339996,166.240005,163.800003,164.130005,164.130005,13784100
META,27/2/19,162.899994,163.929993,160.410004,162.809998,162.809998,12697500
META,28/2/19,162.369995,163.5,160.860001,161.449997,161.449997,11114200
META,1/3/19,162.600006,163.130005,161.690002,162.279999,162.279999,11097800
META,4/3/19,163.899994,167.5,163.830002,167.369995,167.369995,18894700
META,5/3/19,167.369995,171.880005,166.550003,171.259995,171.259995,28187900
META,6/3/19,172.899994,173.570007,171.270004,172.509995,172.509995,21531700
META,7/3/19,171.5,171.740005,167.610001,169.130005,169.130005,18306500
META,8/3/19,166.199997,169.619995,165.970001,169.600006,169.600006,13184800
META,11/3/19,171.600006,174.300003,171.580002,172.070007,172.070007,18884000
META,12/3/19,172.089996,173.800003,171.220001,171.919998,171.919998,12155300
META,13/3/19,172.320007,174.029999,172.119995,173.369995,173.369995,11973300
META,14/3/19,169.759995,171.149994,168.160004,170.169998,170.169998,18037400
META,15/3/19,167.160004,167.580002,162.509995,165.979996,165.979996,37135400
META,18/3/19,163.570007,163.899994,159.279999,160.470001,160.470001,37524200
META,19/3/19,161.479996,163.820007,160.820007,161.570007,161.570007,25611500
META,20/3/19,161.5,166.119995,161.240005,165.440002,165.440002,20211500
META,21/3/19,164.889999,166.389999,163.75,166.080002,166.080002,16223000
META,22/3/19,165.649994,167.419998,164.089996,164.339996,164.339996,16389200
META,25/3/19,163,166.539993,162,166.289993,166.289993,12631200
META,26/3/19,167.350006,169.449997,166.350006,167.679993,167.679993,15437900
META,27/3/19,167.850006,168.940002,164.789993,165.869995,165.869995,10620300
META,28/3/19,164.570007,166.720001,163.330002,165.550003,165.550003,10443000
META,29/3/19,166.389999,167.190002,164.809998,166.690002,166.690002,13455500
META,1/4/19,167.830002,168.899994,167.279999,168.699997,168.699997,10381500
META,2/4/19,170.139999,174.899994,169.550003,174.199997,174.199997,23946500
META,3/4/19,174.5,177.960007,172.949997,173.539993,173.539993,27391100
META,4/4/19,176.020004,178,175.529999,176.020004,176.020004,17847700
META,5/4/19,176.880005,177,175.100006,175.720001,175.720001,9594100
META,8/4/19,175.210007,175.5,174.229996,174.929993,174.929993,7297400
META,9/4/19,175.619995,179.190002,175.550003,177.580002,177.580002,19751000
META,10/4/19,178.179993,178.789993,176.539993,177.820007,177.820007,11701500
META,11/4/19,178.240005,178.399994,177,177.509995,177.509995,8071000
META,12/4/19,178,179.630005,177.949997,179.100006,179.100006,12329800
META,15/4/19,178.5,180.5,176.869995,179.649994,179.649994,10834800
META,16/4/19,179,180.169998,178.300003,178.869995,178.869995,11215200
META,17/4/19,179.600006,180.740005,178.360001,178.779999,178.779999,9973700
META,18/4/19,178.800003,178.880005,177.339996,178.279999,178.279999,11655600
META,22/4/19,178.25,181.669998,178.25,181.440002,181.440002,13389900
META,23/4/19,182.740005,184.220001,181.479996,183.779999,183.779999,19954800
META,24/4/19,184.490005,185.139999,181.649994,182.580002,182.580002,37289900
META,25/4/19,196.979996,198.479996,192.119995,193.259995,193.259995,54148800
META,26/4/19,192.5,192.899994,189.089996,191.490005,191.490005,22075000
META,29/4/19,190.949997,195.410004,190.649994,194.779999,194.779999,19641300
META,30/4/19,194.190002,197.389999,192.279999,193.399994,193.399994,23494700
META,1/5/19,194.779999,196.179993,193.009995,193.029999,193.029999,15996600
META,2/5/19,193,194,189.75,192.529999,192.529999,13209500
META,3/5/19,194.380005,196.160004,193.710007,195.470001,195.470001,14575400
META,6/5/19,191.240005,194.279999,190.550003,193.880005,193.880005,13994900
META,7/5/19,192.539993,192.899994,187.850006,189.770004,189.770004,16253000
META,8/5/19,189.389999,190.720001,188.550003,189.539993,189.539993,12505700
META,9/5/19,187.199997,189.770004,186.259995,188.649994,188.649994,12967000
META,10/5/19,188.25,190,184.589996,188.339996,188.339996,12578500
META,13/5/19,183.5,185.429993,180.839996,181.539993,181.539993,16833300
META,14/5/19,182.520004,183.490005,178.100006,180.729996,180.729996,17628100
META,15/5/19,180.419998,187.279999,180.020004,186.270004,186.270004,16746900
META,16/5/19,185.050003,188.580002,185.050003,186.990005,186.990005,12953100
META,17/5/19,184.839996,187.580002,184.279999,185.300003,185.300003,10485400
META,20/5/19,181.880005,184.229996,181.369995,182.720001,182.720001,10352000
META,21/5/19,184.570007,185.699997,183.889999,184.820007,184.820007,7502800
META,22/5/19,184.729996,186.740005,183.610001,185.320007,185.320007,9213800
META,23/5/19,182.419998,183.899994,179.669998,180.869995,180.869995,12768800
META,24/5/19,182.330002,183.630005,180.830002,181.059998,181.059998,8807700
META,28/5/19,181.539993,184.710007,181.449997,184.309998,184.309998,14843300
META,29/5/19,183.5,184.559998,181.350006,182.190002,182.190002,12797700
